Ticker,Description,Last,Change,%,Change,Rating,Volume,Market,Capitalization,Price,to,Earnings,Ratio,(TTM),Basic,EPS,(TTM),Number,of,Employees,Sector
A,"Agilent Technologies, Inc.",172.37,-2.7421994,-4.86,Buy,5716985,52180302241.7337,54.1031069,3.2438,16400,Health,Technology,,,,,,,,,
AA,Alcoa,Corporation,49.45,-0.1010101,-0.05,Buy,30995176,9240531167.25619,22.79363119,2.3083,12900,Non-Energy,Minerals,,,,,,,,
AAC,Ares,Acquisition,Corporation,9.75,-0.10245902,-0.01,Neutral,2268012,1218750028.97029,,,,Finance,,,,,,,,
AACG,ATA,Creativity,Global,2.7867,-2.22105263,-0.0633,Neutral,93119,89080336,,-0.0647,580,Commercial,Services,,,,,,,
AADI,"Aadi Bioscience, Inc.",27.85,-0.25071633,-0.07,Neutral,160424,579279994.074468,,-6.0698,12,Health,Technology,,,,,,,,,
AAIC,Arlington,Asset,Investment,Corp,3.75,0.26737968,0.01,Sell,362295,121888133,,-0.0017,12,Finance,,,,,,,
AAL,"American Airlines Group, Inc.",20.085,5.98944591,1.135,Neutral,114309903,13004189845.6355,,-10.4607,102700,Transportation,,,,,,,,,,
AAME,Atlantic,American,Corporation,3.96,1.02040816,0.04,Neutral,145646,80826619.1122715,5.17427722,0.7766,153,Finance,,,,,,,,
AAN,"Aarons Holdings Company, Inc.",26.44,0.80060999,0.21,Sell,742098,863862625.270642,,,9400,Retail,Trade,,,,,,,,,
AAOI,"Applied Optoelectronics, Inc.",7.44,0.1345895,0.01,Sell,1403697,201931775.835165,,-1.888,2682,Electronic,Technology,,,,,,,,,
AAON,"AAON, Inc.",65,-0.10757646,-0.07,Neutral,650140,3406242831.52174,45.77114428,1.4595,2268,Producer,Manufacturing,,,,,,,,,
AAP,Advance,Auto,Parts,Inc,Advance,Auto,Parts,Inc,W/I,208.24,4.10438434,8.21,Buy,1787076,13119275330.216,22.09969028,9.3861,68000,Retail,Trade,
AAPL,Apple,Inc.,148.265,-0.47324965,-0.705,Buy,343081589,2450845044231.63,29.18665909,5.1589,147000,Electronic,Technology,,,,,,,,
AAT,"American Assets Trust, Inc.",39.29,2.88033517,1.1,Buy,883945,2397717468,131.20450033,0.3026,189,Finance,,,,,,,,,,
AATC,Autoscope,Technologies,Corporation,8.165,-0.78979344,-0.065,Buy,139204,43823071.7865031,14.95687282,0.5462,46,Technology,Services,,,,,,,
AAU,"Almaden Minerals, Ltd.",0.4099,0.09792454,0.000401,Sell,2081271,56247051.0866038,,-0.02075426,,Non-Energy,Minerals,,,,,,,,,
AAWW,Atlas,Air,Worldwide,Holdings,78.5,6.05241827,4.48,Strong,Buy,1715213,2278453744.66259,4.93940542,16.3975,4061,Transportation,,,,,,
AB,AllianceBernstein,Holding,L.P.,51.865,0.1448156,0.075,Buy,652713,5181770339.72174,15.68426448,,3929,Finance,,,,,,,,
ABBV,AbbVie,Inc.,108.05,1.28421447,1.37,Neutral,24725231,190943310836.978,29.02817433,3.7247,47000,Health,Technology,,,,,,,,
ABC,AmerisourceBergen,Corporation,124.92,1.71810113,2.11,Strong,Buy,2184301,25956766332.3176,,-18.3719,22000,Distribution,Services,,,,,,,
ABCB,Ameris,Bancorp,47.53,2.12720241,0.99,Neutral,1604976,3315996792.14993,7.733618,6.1109,2671,Finance,,,,,,,,,
ABCL,AbCellera,Biologics,Inc.,19.38,2.05371248,0.39,Sell,14042086,5401281194.60606,24.29918615,0.8428,206,Health,Technology,,,,,,,
